Time (ms);Distance (cm);Brightness (lux);a_x (m/s^2);a_y (m/s^2);a_z (m/s^2);a_mag (m/s^2);r_x (rad/s^2);r_y (rad/s^2);r_z (rad/s^2);roll (deg);pitch (deg);yaw (deg)
13594; 130.96 ; 449.00 ; -0.20 ; -0.16 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.11 ; -0.95 ; 1.19 ; 83.07
13722; 100.39 ; 488.00 ; -0.04 ; -0.55 ; 9.34 ; 9.35 ; 0.06 ; -0.12 ; 0.26 ; -3.37 ; 0.24 ; 82.07
13849; 128.20 ; 480.00 ; -0.16 ; -0.31 ; 9.30 ; 9.30 ; 0.06 ; -0.12 ; 0.19 ; -1.93 ; 0.97 ; 84.25
13977; 117.70 ; 448.00 ; -0.12 ; -0.51 ; 9.38 ; 9.39 ; 0.06 ; -0.12 ; 0.18 ; -3.11 ; 0.72 ; 84.56
14105; 126.67 ; 437.00 ; -0.04 ; -0.75 ; 9.26 ; 9.29 ; 0.06 ; -0.14 ; 0.40 ; -4.60 ; 0.24 ; 85.45
14237; 104.44 ; 437.00 ; 0.24 ; -0.55 ; 9.34 ; 9.36 ; 0.06 ; -0.13 ; 0.40 ; -3.37 ; -1.44 ; 84.74
14364; 102.79 ; 457.00 ; 0.16 ; -0.55 ; 9.10 ; 9.12 ; 0.05 ; -0.10 ; 0.03 ; -3.45 ; -0.99 ; 85.42
14491; 105.10 ; 480.00 ; 0.12 ; -0.24 ; 9.22 ; 9.22 ; 0.06 ; -0.11 ; 0.05 ; -1.46 ; -0.73 ; 86.49
14618; 114.31 ; 448.00 ; 0.24 ; -0.59 ; 9.26 ; 9.28 ; 0.05 ; -0.11 ; 0.09 ; -3.64 ; -1.45 ; 87.47
14745; 133.25 ; 435.00 ; 0.12 ; -0.47 ; 9.41 ; 9.43 ; 0.05 ; -0.10 ; -0.09 ; -2.86 ; -0.72 ; 87.06
14877; 139.09 ; 463.00 ; 0.08 ; -0.35 ; 9.30 ; 9.30 ; 0.05 ; -0.10 ; -0.03 ; -2.17 ; -0.48 ; 87.89
15006; 106.46 ; 437.00 ; 0.08 ; -0.55 ; 9.14 ; 9.16 ; 0.05 ; -0.11 ; 0.01 ; -3.44 ; -0.49 ; 87.10
15133; 159.25 ; 441.00 ; 0.08 ; -0.43 ; 9.34 ; 9.35 ; 0.05 ; -0.11 ; 0.01 ; -2.65 ; -0.48 ; 87.37
15263; 114.60 ; 458.00 ; 0.04 ; -0.47 ; 9.34 ; 9.35 ; 0.05 ; -0.11 ; 0.01 ; -2.89 ; -0.24 ; 86.31
15391; 132.06 ; 481.00 ; 0.20 ; -0.55 ; 9.34 ; 9.35 ; 0.05 ; -0.10 ; 0.01 ; -3.37 ; -1.20 ; 84.12
15523; 157.57 ; 443.00 ; 0.04 ; -0.39 ; 9.34 ; 9.34 ; 0.05 ; -0.10 ; -0.10 ; -2.41 ; -0.24 ; 85.81
15653; 129.45 ; 455.00 ; -0.08 ; -0.47 ; 9.45 ; 9.47 ; 0.06 ; -0.12 ; 0.15 ; -2.85 ; 0.47 ; 87.00
15781; 126.93 ; 480.00 ; -0.08 ; -0.51 ; 9.18 ; 9.19 ; 0.06 ; -0.13 ; 0.23 ; -3.18 ; 0.49 ; 87.98
15909; 111.22 ; 483.00 ; -0.04 ; -0.59 ; 9.30 ; 9.31 ; 0.06 ; -0.12 ; 0.16 ; -3.62 ; 0.24 ; 88.97
